id_pedido,cliente,prazo_entrega,centro_origem,centro_destino
180662,Cliente_180662,27,CD_08,CD_12
523182,Cliente_523182,15,CD_16,CD_08
497892,Cliente_497892,5,CD_14,CD_15
603702,Cliente_603702,20,CD_18,CD_10
731455,Cliente_731455,23,CD_09,CD_16
680732,Cliente_680732,29,CD_10,CD_02
595842,Cliente_595842,5,CD_18,CD_01
659363,Cliente_659363,6,CD_04,CD_08
702407,Cliente_702407,21,CD_09,CD_01
446564,Cliente_446564,22,CD_04,CD_00
978140,Cliente_978140,29,CD_14,CD_19
865328,Cliente_865328,6,CD_06,CD_09
307789,Cliente_307789,2,CD_15,CD_07
808697,Cliente_808697,25,CD_01,CD_15
649305,Cliente_649305,1,CD_16,CD_03
330908,Cliente_330908,2,CD_08,CD_18
766024,Cliente_766024,9,CD_19,CD_03
720799,Cliente_720799,11,CD_11,CD_03
550317,Cliente_550317,17,CD_01,CD_16
753137,Cliente_753137,27,CD_01,CD_14
559910,Cliente_559910,24,CD_01,CD_15
942444,Cliente_942444,2,CD_07,CD_18
160984,Cliente_160984,1,CD_14,CD_09
56277,Cliente_56277,15,CD_18,CD_01
157493,Cliente_157493,6,CD_14,CD_11
228632,Cliente_228632,28,CD_18,CD_07
442295,Cliente_442295,27,CD_18,CD_05
642062,Cliente_642062,15,CD_10,CD_05
645412,Cliente_645412,25,CD_17,CD_07
824760,Cliente_824760,10,CD_05,CD_14
659593,Cliente_659593,13,CD_10,CD_06
649026,Cliente_649026,9,CD_12,CD_17
971521,Cliente_971521,26,CD_07,CD_01
829443,Cliente_829443,18,CD_09,CD_00
880558,Cliente_880558,29,CD_04,CD_14
916729,Cliente_916729,26,CD_18,CD_17
467452,Cliente_467452,4,CD_08,CD_16
286032,Cliente_286032,24,CD_15,CD_03
224866,Cliente_224866,20,CD_04,CD_16
78553,Cliente_78553,23,CD_09,CD_08
617825,Cliente_617825,10,CD_15,CD_06
825812,Cliente_825812,7,CD_00,CD_12
264261,Cliente_264261,28,CD_05,CD_14
36142,Cliente_36142,14,CD_19,CD_08
817393,Cliente_817393,22,CD_02,CD_17
137875,Cliente_137875,10,CD_06,CD_13
